Talhao;Plantio;IdParcela;AreaParc;DataPlantio;DataColeta;Linha;Arvore;Fuste;Cap;Ht;Categoria1;Categoria2;Inclinacao;CoordenadaX;CoordenadaY;Observacao
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;4;6;1;50.5;26.8;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;4;7;1;57;26.2;DOMINANTE;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;5;1;1;55.5;29.7;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;5;2;1;43;24.6;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;5;3;1;52.5;25.4;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;5;4;1;53.3;24.4;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;5;5;1;50.4;26.4;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;5;6;1;39.9;26.5;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;5;7;1;42;22.7;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;6;1;1;52.5;27.3;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;6;2;1;57.4;28.1;DOMINANTE;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;6;3;1;49;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;6;4;1;45;;NORMAL;;0;-5397437435;-2050204247;
T-7;P-7;IFC_12_015;400;01/06/2010;26/09/2018;2;6;1;54;;NORMAL;;0;-5397437435;-2050204247;
